parameter,initvalue,optvalue,case,rec,param
kdeg(N1),-4.466596575,-4.86157098,case15,N1,kdeg
krec4(N1),-1,-1.000030402,case15,N1,krec4
k4to11(N1),-1,-1.038355883,case15,N1,k4to11
krec11(N1),-1.21968989,-3.04529449,case15,N1,krec11
kint(R1),-2.147501708,-1.916819996,case16,R1,kint
kdeg(R1),-3.066948237,-3.638990287,case16,R1,kdeg
krec4(R1),-3.560067604,-3.654351859,case16,R1,krec4
k4to11(R1),-1.783543785,-3.050229542,case16,R1,k4to11
krec11(R1),-1,-1.000965206,case16,R1,krec11
kint(R2),-2.085678003,-3.643133153,case16,R2,kint
kdeg(R2),-4.441639484,-3.631359871,case16,R2,kdeg
krec4(R2),-3.067561752,-6,case16,R2,krec4
k4to11(R2),-3.846063246,-6,case16,R2,k4to11
krec11(R2),-1.503056521,-1.029388164,case16,R2,krec11
kint(N1),-3.461388569,-3.541573685,case16,N1,kint
kdeg(N1),-4.478286726,-4.819186224,case16,N1,kdeg
krec4(N1),-1.603451962,-1.956205608,case16,N1,krec4
k4to11(N1),-2.50541411,-1.022655997,case16,N1,k4to11
krec11(N1),-1.75880229,-2.943590679,case16,N1,krec11
kint(R1),-2.359379452,-1.889073758,case17,R1,kint
kdeg(R1),-3.817670959,-3.638801192,case17,R1,kdeg
krec4(R1),-1.867452158,-3.611419278,case17,R1,krec4
k4to11(R1),-1.74860515,-3.016563166,case17,R1,k4to11
krec11(R1),-1,-1.018684361,case17,R1,krec11
kint(R2),-2.349721625,-3.64305678,case17,R2,kint
kdeg(R2),-3.879097182,-3.631527162,case17,R2,kdeg
krec4(R2),-2.404834585,-6,case17,R2,krec4
k4to11(R2),-2.926648298,-6,case17,R2,k4to11
krec11(R2),-1.595354404,-1.418220954,case17,R2,krec11
kint(N1),-2.418699027,-3.512465706,case17,N1,kint
kdeg(N1),-4.521953237,-5.891299703,case17,N1,kdeg
krec4(N1),-1.964250163,-1.881900688,case17,N1,krec4
k4to11(N1),-2.224163909,-1.03118562,case17,N1,k4to11
krec11(N1),-2.638876821,-2.930442895,case17,N1,krec11
kint(R1),-1.693381996,-2.156206802,case18,R1,kint
kdeg(R1),-3.601157597,-3.641760492,case18,R1,kdeg
krec4(R1),-1.698492543,-3.687484144,case18,R1,krec4
k4to11(R1),-3.557363474,-3.44721015,case18,R1,k4to11
krec11(R1),-1.92024008,-1.003488328,case18,R1,krec11
kint(R2),-3.143397974,-3.64320954,case18,R2,kint
kdeg(R2),-3.422450758,-3.631378456,case18,R2,kdeg
krec4(R2),-3.112107134,-6,case18,R2,krec4
k4to11(R2),-3.965131004,-6,case18,R2,k4to11
krec11(R2),-1.894455754,-1.000278037,case18,R2,krec11
kint(N1),-1.927823656,-3.288732812,case18,N1,kint
kdeg(N1),-4.894183363,-6,case18,N1,kdeg
krec4(N1),-2.63874448,-1.011169137,case18,N1,krec4
k4to11(N1),-2.621656616,-1.019642061,case18,N1,k4to11
krec11(N1),-1.603678579,-3.077949598,case18,N1,krec11
kint(R1),-1.113368293,-1.930110003,case19,R1,kint
kdeg(R1),-3.118672416,-3.640335235,case19,R1,kdeg
krec4(R1),-2.473247306,-3.609294459,case19,R1,krec4
k4to11(R1),-2.407867674,-3.083314489,case19,R1,k4to11
krec11(R1),-2.065713698,-1.049922498,case19,R1,krec11
kint(R2),-2.827630623,-3.628156645,case19,R2,kint
kdeg(R2),-3.325019514,-3.64115181,case19,R2,kdeg
krec4(R2),-2.792419485,-5.999088938,case19,R2,krec4
k4to11(R2),-2.790726327,-5.992124256,case19,R2,k4to11
krec11(R2),-1.2205406,-1.259984885,case19,R2,krec11
kint(N1),-3.219884397,-3.529236806,case19,N1,kint
kdeg(N1),-4.451512309,-5.10210362,case19,N1,kdeg
krec4(N1),-1.94584676,-1.8188713,case19,N1,krec4
k4to11(N1),-1,-1.000008686,case19,N1,k4to11
krec11(N1),-1.445087049,-2.960030973,case19,N1,krec11
kint(R1),-1.190783817,-1.995979727,case20,R1,kint
kdeg(R1),-2.808325468,-3.641513112,case20,R1,kdeg
krec4(R1),-2.58151641,-3.662860337,case20,R1,krec4
k4to11(R1),-2.053056729,-3.169033012,case20,R1,k4to11
krec11(R1),-1,-1,case20,R1,krec11
kint(R2),-3.441471423,-3.62345954,case20,R2,kint
kdeg(R2),-3.09968204,-3.637442133,case20,R2,kdeg
krec4(R2),-2.808744658,-5.698514234,case20,R2,krec4
k4to11(R2),-2.568105756,-5.558603397,case20,R2,k4to11
krec11(R2),-2.487088912,-1.074394008,case20,R2,krec11
kint(N1),-2.816246294,-3.60018788,case20,N1,kint
kdeg(N1),-4.701867708,-5.702655385,case20,N1,kdeg
krec4(N1),-2.088576035,-1.779970406,case20,N1,krec4
k4to11(N1),-1.786508806,-1.04416799,case20,N1,k4to11
krec11(N1),-1.030411709,-3.031582434,case20,N1,krec11
