parameter,initvalue,optvalue,case,rec,param
kint(R1),-1.189545685,-2.016689514,case91,R1,kint
kdeg(R1),-4.174807646,-3.64238909,case91,R1,kdeg
krec4(R1),-2.295866649,-3.553866871,case91,R1,krec4
k4to11(R1),-2.036547464,-3.240400137,case91,R1,k4to11
krec11(R1),-1,-1,case91,R1,krec11
kint(R2),-1.610390984,-3.503374741,case91,R2,kint
kdeg(R2),-3.376740369,-3.596347665,case91,R2,kdeg
krec4(R2),-3.063692395,-4.455758273,case91,R2,krec4
k4to11(R2),-3.451021275,-4.447453452,case91,R2,k4to11
krec11(R2),-1,-1,case91,R2,krec11
kint(N1),-2.549135308,-3.536689446,case91,N1,kint
kdeg(N1),-4.626242315,-5.894115291,case91,N1,kdeg
krec4(N1),-1.518170549,-1.483795265,case91,N1,krec4
k4to11(N1),-1.698340733,-1.015832873,case91,N1,k4to11
krec11(N1),-1.982757915,-3.034299829,case91,N1,krec11
kint(R1),-1.432103563,-1.588312967,case92,R1,kint
kdeg(R1),-3.842331727,-3.63503648,case92,R1,kdeg
krec4(R1),-2.694906704,-2.768912879,case92,R1,krec4
k4to11(R1),-2.930368897,-2.984095622,case92,R1,k4to11
krec11(R1),-1.82457517,-1,case92,R1,krec11
kint(R2),-1.611952111,-3.639501256,case92,R2,kint
kdeg(R2),-2.900215803,-3.634811632,case92,R2,kdeg
krec4(R2),-2.915495217,-5.999782907,case92,R2,krec4
k4to11(R2),-3.780520262,-5.995334767,case92,R2,k4to11
krec11(R2),-2.691200896,-1.048686771,case92,R2,krec11
kint(N1),-2.009661145,-4.986699213,case92,N1,kint
kdeg(N1),-4.853996066,-6,case92,N1,kdeg
krec4(N1),-2.561726697,-3.418425778,case92,N1,krec4
k4to11(N1),-2.479005833,-3.609630197,case92,N1,k4to11
krec11(N1),-1,-1.393661636,case92,N1,krec11
kint(R1),-2.192722107,-1.165744652,case93,R1,kint
kdeg(R1),-4.422209582,-3.636237641,case93,R1,kdeg
krec4(R1),-1.709186584,-2.149629498,case93,R1,krec4
k4to11(R1),-2.814599517,-3.380990196,case93,R1,k4to11
krec11(R1),-1,-1.000986969,case93,R1,krec11
kint(R2),-1.877718573,-3.635749269,case93,R2,kint
kdeg(R2),-2.823127714,-3.636463229,case93,R2,kdeg
krec4(R2),-3.303853382,-5.896709528,case93,R2,krec4
k4to11(R2),-3.93516778,-5.908860846,case93,R2,k4to11
krec11(R2),-2.03874981,-1.058369327,case93,R2,krec11
kint(N1),-1.984137492,-4.599669278,case93,N1,kint
kdeg(N1),-5.977447916,-6,case93,N1,kdeg
krec4(N1),-2.352705071,-2.874941849,case93,N1,krec4
k4to11(N1),-2.391003557,-4.072840162,case93,N1,k4to11
krec11(N1),-2.218610879,-1.101154198,case93,N1,krec11
kint(R1),-1.257274869,-1.000973911,case94,R1,kint
kdeg(R1),-3.357911569,-3.638158885,case94,R1,kdeg
krec4(R1),-2.0345631,-1.959279016,case94,R1,krec4
k4to11(R1),-2.462571316,-5.988091387,case94,R1,k4to11
krec11(R1),-1.183109402,-1.05387702,case94,R1,krec11
kint(R2),-2.104455913,-3.643228638,case94,R2,kint
kdeg(R2),-4.128158632,-3.631359871,case94,R2,kdeg
krec4(R2),-3.287097875,-6,case94,R2,krec4
k4to11(R2),-3.651812003,-6,case94,R2,k4to11
krec11(R2),-1.151238361,-1.022889411,case94,R2,krec11
kint(N1),-2.346642746,-4.410787874,case94,N1,kint
kdeg(N1),-4.943705113,-6,case94,N1,kdeg
krec4(N1),-2.099403493,-2.735914486,case94,N1,krec4
k4to11(N1),-2.194098335,-4.281323964,case94,N1,k4to11
krec11(N1),-1.485678086,-1.024090501,case94,N1,krec11
kint(R1),-1.943057054,-1.279857241,case95,R1,kint
kdeg(R1),-4.079532298,-3.633689133,case95,R1,kdeg
krec4(R1),-2.980842152,-2.333556904,case95,R1,krec4
k4to11(R1),-2.890151579,-2.940171618,case95,R1,k4to11
krec11(R1),-1.708542346,-1,case95,R1,krec11
kint(R2),-2.084584334,-3.64320954,case95,R2,kint
kdeg(R2),-4.428792118,-3.631341288,case95,R2,kdeg
krec4(R2),-2.927125403,-5.998006826,case95,R2,krec4
k4to11(R2),-2.62802753,-5.998093296,case95,R2,k4to11
krec11(R2),-1.038835287,-1.452582227,case95,R2,krec11
kint(N1),-1.994862404,-4.687695675,case95,N1,kint
kdeg(N1),-5.776400235,-6,case95,N1,kdeg
krec4(N1),-2.246370986,-3.156181911,case95,N1,krec4
k4to11(N1),-2.331520897,-3.700296627,case95,N1,k4to11
krec11(N1),-1,-1.000073836,case95,N1,krec11
kint(R1),-1.364948752,-1,case96,R1,kint
kdeg(R1),-3.994991179,-3.636500839,case96,R1,kdeg
krec4(R1),-2.862645889,-1.956559124,case96,R1,krec4
k4to11(R1),-3.257942923,-3.913319906,case96,R1,k4to11
krec11(R1),-1.694820662,-1.240392583,case96,R1,krec11
kint(R2),-1.550336506,-3.639842235,case96,R2,kint
kdeg(R2),-3.895444609,-3.633689133,case96,R2,kdeg
krec4(R2),-2.805069601,-5.995077051,case96,R2,krec4
k4to11(R2),-3.741219093,-5.943095149,case96,R2,k4to11
krec11(R2),-2.28497492,-1.749531203,case96,R2,krec11
kint(N1),-2.256858836,-4.400695645,case96,N1,kint
kdeg(N1),-5.453247643,-6,case96,N1,kdeg
krec4(N1),-1.992935344,-2.84067348,case96,N1,krec4
k4to11(N1),-2.672845488,-4.021413236,case96,N1,k4to11
krec11(N1),-1.172398131,-3.184681312,case96,N1,krec11
kint(R1),-1.024802636,-1.000026058,case97,R1,kint
kdeg(R1),-3.011351875,-3.636463229,case97,R1,kdeg
krec4(R1),-2.663240166,-1.967824623,case97,R1,krec4
k4to11(R1),-2.410843794,-3.440117304,case97,R1,k4to11
krec11(R1),-1,-1.001178536,case97,R1,krec11
kint(R2),-2.52975126,-3.640430106,case97,R2,kint
kdeg(R2),-4.228897789,-3.631731715,case97,R2,kdeg
krec4(R2),-2.496890563,-6,case97,R2,krec4
k4to11(R2),-3.258556868,-6,case97,R2,k4to11
krec11(R2),-1.387830946,-1.259708383,case97,R2,krec11
kint(N1),-2.004975001,-4.351054818,case97,N1,kint
kdeg(N1),-5.914352712,-6,case97,N1,kdeg
krec4(N1),-1.836331846,-2.806541457,case97,N1,krec4
k4to11(N1),-2.178558532,-3.966335037,case97,N1,k4to11
krec11(N1),-1,-1.286786755,case97,N1,krec11
kint(R1),-2.203411792,-1.896093702,case98,R1,kint
kdeg(R1),-3.782516056,-3.640657883,case98,R1,kdeg
krec4(R1),-3.558367696,-3.160276906,case98,R1,krec4
k4to11(R1),-3.426617763,-3.264472956,case98,R1,k4to11
krec11(R1),-1,-1.000221547,case98,R1,krec11
kint(R2),-2.325975199,-3.643381458,case98,R2,kint
kdeg(R2),-3.126017125,-3.631582939,case98,R2,kdeg
krec4(R2),-2.827805872,-6,case98,R2,krec4
k4to11(R2),-2.592371191,-6,case98,R2,k4to11
krec11(R2),-1.131673024,-1.012512494,case98,R2,krec11
kint(N1),-1.77994424,-5.62178385,case98,N1,kint
kdeg(N1),-5.265088212,-6,case98,N1,kdeg
krec4(N1),-1.186979753,-3.750165958,case98,N1,krec4
k4to11(N1),-1.294273095,-3.834844739,case98,N1,k4to11
krec11(N1),-1,-2.396076546,case98,N1,krec11
kint(R1),-1.034191746,-2.057709127,case99,R1,kint
kdeg(R1),-2.855612626,-3.643324144,case99,R1,kdeg
krec4(R1),-3.413829188,-3.642541614,case99,R1,krec4
k4to11(R1),-2.292676846,-3.287266141,case99,R1,k4to11
krec11(R1),-1,-1,case99,R1,krec11
kint(R2),-1.768301089,-3.505747979,case99,R2,kint
kdeg(R2),-3.774561483,-3.62345954,case99,R2,kdeg
krec4(R2),-2.904516814,-4.595748012,case99,R2,krec4
k4to11(R2),-3.219610672,-4.60623182,case99,R2,k4to11
krec11(R2),-2.85648558,-1.000191132,case99,R2,krec11
kint(N1),-3.289112931,-3.565127834,case99,N1,kint
kdeg(N1),-5.686765708,-5.956559124,case99,N1,kdeg
krec4(N1),-2.393371458,-1.636181262,case99,N1,krec4
k4to11(N1),-1,-1,case99,N1,k4to11
krec11(N1),-1.534111757,-3.211209633,case99,N1,krec11
kint(R1),-2.216932957,-1.010817249,case100,R1,kint
kdeg(R1),-4.410396633,-3.637668348,case100,R1,kdeg
krec4(R1),-2.470146338,-1.969278871,case100,R1,krec4
k4to11(R1),-2.533458594,-3.960982678,case100,R1,k4to11
krec11(R1),-1.68241716,-1,case100,R1,krec11
kint(R2),-3.217312432,-3.64320954,case100,R2,kint
kdeg(R2),-2.961737593,-3.631378456,case100,R2,kdeg
krec4(R2),-3.306959321,-6,case100,R2,krec4
k4to11(R2),-2.948538756,-6,case100,R2,k4to11
krec11(R2),-1.907103989,-1.40613821,case100,R2,krec11
kint(N1),-2.580077279,-4.382936722,case100,N1,kint
kdeg(N1),-5.539387773,-6,case100,N1,kdeg
krec4(N1),-2.601244284,-2.912076679,case100,N1,krec4
k4to11(N1),-2.039809964,-4.001283062,case100,N1,k4to11
krec11(N1),-1,-1,case100,N1,krec11
