parameter,value,case
krec4(R2),-5.314643477,case33
k4to11(R2),-5.384723469,case33
krec11(R2),-1.04231132,case33
kint(N1),-3.487782695,case33
kdeg(N1),-5.95093711,case33
krec4(N1),-1.575363335,case33
k4to11(N1),-1.027936084,case33
krec11(N1),-2.960347976,case33
kprod(R1),0.562887381,case33
kprod(R2),0.049528122,case33
kprod(N1),-0.407179498,case33
kint(R1),-1.793578935,case34
kdeg(R1),-3.636444426,case34
krec4(R1),-3.472795581,case34
k4to11(R1),-2.912467024,case34
krec11(R1),-1.000056462,case34
kint(R2),-3.623824677,case34
kdeg(R2),-3.640733835,case34
krec4(R2),-5.76275796,case34
k4to11(R2),-5.812620307,case34
krec11(R2),-1,case34
kint(N1),-3.347453915,case34
kdeg(N1),-5.941763831,case34
krec4(N1),-1.807181743,case34
k4to11(N1),-1.011253811,case34
krec11(N1),-2.795418824,case34
kprod(R1),0.698700658,case34
kprod(R2),0.304964202,case34
kprod(N1),0.57285999,case34
kint(R1),-2.003759847,case35
kdeg(R1),-3.643324144,case35
krec4(R1),-3.325037872,case35
k4to11(R1),-3.392180537,case35
krec11(R1),-1.000026058,case35
kint(R2),-3.607443732,case35
kdeg(R2),-3.638971374,case35
krec4(R2),-5.743787541,case35
k4to11(R2),-5.081366895,case35
krec11(R2),-1.283178949,case35
kint(N1),-3.477151656,case35
kdeg(N1),-6,case35
krec4(N1),-1.020610987,case35
k4to11(N1),-1.476175523,case35
krec11(N1),-3.538576513,case35
kprod(R1),0.5645122,case35
kprod(R2),0.064083436,case35
kprod(N1),-0.465821537,case35
kint(R1),-1.732054274,case36
kdeg(R1),-3.63847992,case36
krec4(R1),-2.895478747,case36
k4to11(R1),-3.240483241,case36
krec11(R1),-1,case36
kint(R2),-3.643228638,case36
kdeg(R2),-3.631378456,case36
krec4(R2),-6,case36
k4to11(R2),-6,case36
krec11(R2),-1.018575561,case36
kint(N1),-4.801590366,case36
kdeg(N1),-6,case36
krec4(N1),-2.097349959,case36
k4to11(N1),-2.729530794,case36
krec11(N1),-4.124741901,case36
kprod(R1),0.567908183,case36
kprod(R2),0.043283666,case36
kprod(N1),-0.092126641,case36
kint(R1),-1.972446546,case37
kdeg(R1),-3.642065153,case37
krec4(R1),-3.386464723,case37
k4to11(R1),-3.249121494,case37
krec11(R1),-1,case37
kint(R2),-3.628211991,case37
kdeg(R2),-3.628507291,case37
krec4(R2),-5.434341046,case37
k4to11(R2),-5.422887512,case37
krec11(R2),-1,case37
